2022-11-19 14:29:59,127 INFO   my_server Connection established with ('127.0.0.1', 52816)
2022-11-19 14:29:59,628 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668850199.1270776, 'type': 'status', 'user': {'account_name': 'YYY', 'status': 'Я онлайн!'}}
2022-11-19 14:29:59,628 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 14:30:05,132 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668850204.7742703, 'account_name': 'YYY', 'destination': None, 'message_text': 'seggs'}
2022-11-19 14:30:05,132 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 14:31:08,143 INFO   my_server Connection established with ('127.0.0.1', 52833)
2022-11-19 14:31:08,643 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668850268.1435916, 'type': 'status', 'user': {'account_name': 'TTT', 'status': 'Я онлайн!'}}
2022-11-19 14:31:08,644 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 14:31:09,645 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668850269.5024018, 'account_name': 'TTT', 'destination': None, 'message_text': 'sdg'}
2022-11-19 14:31:09,646 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 14:31:13,149 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668850273.1180968, 'account_name': 'YYY', 'destination': None, 'message_text': 'rehr'}
2022-11-19 14:31:13,150 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 14:31:37,662 INFO   my_server Client ('127.0.0.1', 52816) disconected from server
2022-11-19 14:31:39,163 INFO   my_server Client ('127.0.0.1', 52833) disconected from server
2022-11-19 14:35:11,951 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 14:35:11,951 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 14:35:17,351 INFO   my_server Connection established with ('127.0.0.1', 52908)
2022-11-19 14:35:17,852 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668850517.3512015, 'type': 'status', 'user': {'account_name': 'PPs', 'status': 'Я онлайн!'}}
2022-11-19 14:35:17,853 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 14:35:20,354 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668850519.8858209, 'account_name': 'PPs', 'destination': None, 'message_text': 'asf'}
2022-11-19 14:35:20,355 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 14:35:27,860 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668850527.6628678, 'account_name': 'PPs', 'destination': 'u1', 'message_text': '/pm u1'}
2022-11-19 14:35:27,860 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 14:35:53,371 INFO   my_server Client ('127.0.0.1', 52908) disconected from server
2022-11-19 14:39:43,118 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 14:39:43,119 INFO   my_server App starts at 0.0.0.0 7777
2022-11-19 14:40:03,002 INFO   my_server Connection established with ('127.0.0.1', 52944)
2022-11-19 14:40:03,006 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668850799.9993753, 'type': 'status', 'user': {'account_name': 'YYY', 'status': 'Я онлайн!'}}
